Country 	County 	City 	Airport 	Latitude 	Longitude 	Altitude 	ICAO 	IATA
Kenya 	- 	Nakuru 	Lanet 	S00* 18.1617' 	E36* 09.0500' 	1889.76M 	HKNK 	-
Kenya 	- 	Nanyuki 	Nanyuki 	S00* 04.1617' 	E37* 02.0517' 	1905.00M 	HKNY 	-
Kenya 	- 	Narok 	Narok 	S01* 09.1567' 	E35* 46.0483' 	1718.77M 	HKNO 	-
Kenya 	- 	Nyahururu 	Nyahururu 	S00* 00.5366' 	E36* 22.2737' 	2369.82M 	HK0C 	-
Kenya 	- 	Nyeri 	Nyeri 	S00* 22.0000' 	E36* 58.0000' 	1776.98M 	HKNI 	-
Kenya 	- 	Rhamu 	Rhamu 	N03* 55.5034' 	E41* 13.4394' 	243.84M 	HK0B 	-
Kenya 	- 	Samburu South 	Buffalo Spring 	N00* 31.8350' 	E37* 32.0517' 	1004.32M 	HKSB 	-
Kenya 	- 	Voi 	Voi 	S03* 22.1465' 	E38* 32.0550' 	609.60M 	HKVO 	-
Kenya 	- 	Wajir 	Waghala 	N01* 43.9898' 	E40* 05.4913' 	234.70M 	HKWJ 	WJR
Kenya 	- 	Webuye 	Webuye 	N00* 35.9140' 	E34* 43.8182' 	1474.93M 	HK0E 	-
Kiribati 	- 	Butaritari 	Butaritari 	N03* 05.0000' 	E172* 49.0000' 	1.52M 	NGTU 	-
Kiribati 	- 	Canton I 	Canton AFLD 	S02* 46.2000' 	W171* 42.8000' 	2.74M 	PCIS 	-
Kiribati 	- 	Christmas I 	Cassidy Intl 	N01* 59.4700' 	W157* 21.5200' 	1.52M 	PLCH 	CXI
Kiribati 	- 	Palmyra Is 	Palmyra 	N05* 53.0000' 	W162* 04.0000' 	1.52M 	PLPA 	-
Kiribati 	- 	Tabiteuea North 	Tabiteuea North 	S01* 13.8692' 	E174* 46.2003' 	2.13M 	NGTE 	-
Kiribati 	- 	Tarawa I 	Bonriki Intl 	N01* 22.7000' 	E173* 09.0000' 	2.74M 	NGTA 	TRW
Korea 	- 	Busan 	Busan Aero 	N35* 10.3000' 	E129* 07.7000' 	1.83M 	RKPP 	-
Korea 	- 	Busan 	Gimhae Intl 	N35* 10.8333' 	E128* 56.2833' 	3.96M 	RKPK 	PUS
Korea 	- 	Cheongju 	Cheongju Intl 	N36* 43.0667' 	E127* 29.7667' 	57.91M 	RKTU 	CHN
Korea 	- 	Chuncheon 	A-306 	N37* 53.1000' 	E127* 42.9000' 	74.68M 	RKNC 	-
Korea 	- 	Daegu 	Daegu International 	N35* 53.6333' 	E128* 39.5333' 	36.58M 	RKTN 	TAE
Korea 	- 	G 404 	G 404 	N38* 05.2512' 	E127* 59.1975' 	199.64M 	RK13 	-
Korea 	- 	G 505 	G 505 	N36* 34.2932' 	E127* 17.7230' 	24.99M 	RKUC 	-
Korea 	- 	G 536 	G 536 	N36* 16.1653' 	E127* 06.8299' 	31.70M 	RKUL 	-
Korea 	- 	Galmi 	R-510 	N37* 12.0000' 	E127* 28.3000' 	64.31M 	RKGA 	-
Korea 	- 	Ganam-ri 	R-222 	N37* 49.9000' 	E126* 59.4000' 	87.48M 	RKSD 	-
Korea 	- 	Gangneung 	Gangneung 	N37* 45.2250' 	E128* 56.6950' 	10.67M 	RKNN 	KAG
Korea 	- 	Gunsan 	Gunsan AB 	N35* 54.2333' 	E126* 36.9500' 	8.84M 	RKJK 	KUV
Korea 	- 	Gwangju 	Gwangju Aero 	N35* 07.5500' 	E126* 48.5833' 	14.63M 	RKJJ 	KWJ
Korea 	- 	Jeju 	Jeju Intl 	N33* 30.7333' 	E126* 29.5667' 	35.97M 	RKPC 	CJU
Korea 	- 	Jeju 	Jeongseok 	N33* 23.9000' 	E126* 42.7833' 	358.14M 	RKPD 	-
Korea 	- 	Jeonju 	Jeonju 	N35* 52.7000' 	E127* 07.0000' 	29.26M 	RKJU 	-
Korea 	- 	Jeonju 	R 500 	N36* 06.6667' 	E127* 06.2333' 	20.12M 	RKTO 	-
Korea 	- 	Jinhae 	R-813 	N35* 08.6000' 	E128* 41.7000' 	2.44M 	RKPE 	-
Korea 	- 	Jungwon 	Jungwon Aero 	N37* 01.5000' 	E127* 53.1000' 	85.65M 	RKTI 	-
Korea 	- 	Mokpo 	Mokpo 	N34* 45.5333' 	E126* 22.8667' 	7.01M 	RKJM 	MPK
Korea 	- 	Osan 	Osan AB 	N37* 05.4000' 	E127* 01.8000' 	12.19M 	RKSO 	OSN
Korea 	- 	Pocheon 	R 213 	N37* 48.9000' 	E127* 21.0000' 	128.02M 	RK1J 	-
Korea 	- 	Pocheon 	R-217 Aero 	N37* 51.8000' 	E127* 10.9000' 	99.97M 	RKRO 	-
Korea 	- 	Pohang 	Pohang Aero 	N35* 59.2763' 	E129* 25.2228' 	21.34M 	RKTH 	KPO
Korea 	- 	Pyeongtaek 	A-511 AAF 	N36* 57.6000' 	E127* 02.0000' 	15.54M 	RKSG 	-
North Korea 	- 	Pyeongyang 	Sunan 	N39* 14.6167' 	E125* 40.5500' 	31.09M 	ZKPY 	FNJ
Korea 	- 	R 103 	R 103 	N37* 28.4959' 	E126* 44.8325' 	28.04M 	RK1I 	-
Korea 	- 	R 107 	R 107 	N37* 42.9178' 	E126* 33.5315' 	13.72M 	RK0K 	-
Korea 	- 	R 110 	R 110 	N37* 45.7873' 	E126* 47.5430' 	19.81M 	RK1D 	-
Korea 	- 	R 129 	R 129 	N37* 57.4150' 	E126* 55.2216' 	38.71M 	RK0L 	-
Korea 	- 	R 203 	R 203 	N37* 38.6205' 	E127* 08.9258' 	24.38M 	RK0O 	-
Korea 	- 	R 218 	R 218 	N37* 53.7287' 	E126* 58.2997' 	116.13M 	RK0M 	-
Korea 	- 	R 219 	R 219 	N37* 54.5629' 	E127* 00.4815' 	96.62M 	RK0N 	-
Korea 	- 	R 225 	R 225 	N38* 01.1000' 	E126* 58.4831' 	30.48M 	RK0T 	-
Korea 	- 	R 227 	R 227 	N38* 01.4500' 	E127* 06.4166' 	67.06M 	RK0V 	-
Korea 	- 	R 228 	R 228 	N38* 01.7850' 	E127* 08.4600' 	69.49M 	RK0W 	-
Korea 	- 	R 231 	R 231 	N38* 01.5817' 	E127* 21.9700' 	141.43M 	RK0C 	-
Korea 	- 	R 233 	R 233 	N38* 04.7500' 	E127* 16.3331' 	103.63M 	RK0G 	-
Korea 	- 	R 237 	R 237 	N38* 09.2050' 	E127* 18.7218' 	155.45M 	RK0D 	-
Korea 	- 	R 238 	R 238 	N38* 10.5960' 	E127* 06.2046' 	79.86M 	RK0U 	-
Korea 	- 	R 239 	R 239 	N38* 11.9498' 	E127* 13.3170' 	192.02M 	RK0X 	-
Korea 	- 	R 240 	R 240 	N38* 14.9333' 	E127* 22.6332' 	192.02M 	RK0Y 	-
Korea 	- 	R 301 	R 301 	N37* 30.0915' 	E127* 37.7917' 	70.10M 	RK0P 	-
Korea 	- 	R 307 	R 307 	N37* 55.7697' 	E127* 45.3947' 	82.30M 	RK0Q 	-
Korea 	- 	R 311 	R 311 	N38* 03.1166' 	E127* 47.8999' 	179.83M 	RK1A 	-
Korea 	- 	R 312 	R 312 	N38* 04.3834' 	E127* 31.3669' 	287.12M 	RK0E 	-
Korea 	- 	R 313 	R 313 	N38* 07.3000' 	E127* 41.2000' 	140.21M 	Z18G 	-
Korea 	- 	R 314 	R 314 	N38* 08.2497' 	E127* 44.5005' 	182.88M 	RK0H 	-
Korea 	- 	R 317 	R 317 	N38* 12.9500' 	E127* 39.2663' 	228.60M 	RK0Z 	-
Korea 	- 	R 321 	R 321 	N38* 15.9167' 	E127* 33.8500' 	274.32M 	Z19B 	-
Korea 	- 	R 404 	R 404 	N38* 05.2500' 	E127* 59.2053' 	205.74M 	RK0A 	-
Korea 	- 	R 405 	R 405 	N38* 07.1685' 	E128* 02.4030' 	219.76M 	RK1L 	-
Korea 	- 	R 406 	R 406 	N38* 08.3857' 	E128* 00.5674' 	199.95M 	RK0F 	-
Korea 	- 	R 412 	R 412 	N38* 14.4998' 	E128* 12.4500' 	289.56M 	RK1C 	-
Korea 	- 	R 412 	R 412 	N38* 14.4998' 	E128* 12.4500' 	289.56M 	RK44 	-
Korea 	- 	R 413 	R 413 	N38* 22.9534' 	E128* 27.5066' 	49.99M 	RK0I 	-
Korea 	- 	R 413 	R 413 	N38* 22.9597' 	E128* 27.4598' 	7.01M 	RK21 	-
Korea 	- 	R 414 	R 414 	N38* 06.3330' 	E128* 12.0088' 	204.83M 	RK1B 	-
Korea 	- 	R 414 	R 414 	N38* 06.3330' 	E128* 12.0088' 	209.70M 	RK43 	-
Korea 	- 	R 417 	R 417 	N37* 39.0165' 	E128* 34.2169' 	524.87M 	RK0S 	-
Korea 	- 	R 419 	R 419 	N37* 42.0034' 	E127* 54.0034' 	137.16M 	RK1E 	-
Korea 	- 	R 420 	R 420 	N37* 57.3500' 	E128* 18.8497' 	274.32M 	RK0R 	-
Korea 	- 	R 501 	R 501 	N37* 17.2102' 	E127* 13.5900' 	74.07M 	RK1H 	-
Korea 	- 	R 522 	R 522 	N36* 10.8116' 	E127* 50.0003' 	166.42M 	RK0J 	-
Korea 	- 	R 526 	R 526 	N36* 35.0284' 	E126* 39.5933' 	60.05M 	RK1G 	-
Korea 	- 	R 530 	R 530 	N36* 45.3620' 	E126* 19.7914' 	27.74M 	RK1F 	-
Korea 	- 	R 605 	R 605 	N37* 09.7167' 	E128* 13.1917' 	290.47M 	RK0B 	-
Korea 	- 	R 710 	R 710 	N35* 20.7000' 	E127* 01.2000' 	40.23M 	RK1M 	-
Korea 	- 	R 712 	R 712 	N35* 18.3234' 	E126* 29.7330' 	9.14M 	RK1K 	-
Korea 	- 	Sacheon 	Sacheon 	N35* 05.4833' 	E128* 04.5667' 	7.62M 	RKPS 	-
Korea 	- 	Seongmu 	Seongmu 	N36* 34.0907' 	E127* 30.0068' 	78.64M 	RKTE 	-
Korea 	- 	Seosan 	Seosan 	N36* 42.1000' 	E126* 29.5000' 	11.89M 	RKTP 	-
Korea 	- 	Seoul 	Gimpo Intl 	N37* 33.4167' 	E126* 47.8500' 	17.68M 	RKSS 	GMP
Korea 	- 	Seoul 	Seoul / Domestic 	N37* 26.7333' 	E127* 06.7833' 	28.04M 	RKSM 	-
Korea 	- 	Seoul/Incheon 	Incheon Intl 	N37* 27.7500' 	E126* 26.3500' 	7.01M 	RKSI 	ICN
Korea 	- 	Sokcho 	Sokcho Aero 	N38* 08.8559' 	E128* 36.0261' 	29.87M 	RKND 	SHO
Korea 	- 	Susaek 	Susaek Aero 	N37* 36.0000' 	E126* 52.0000' 	19.51M 	RKSK 	-
Korea 	- 	Suwon 	Suwon 	N37* 14.4000' 	E127* 00.4000' 	26.82M 	RKSW 	-
Korea 	- 	Ulsan 	Ulsan 	N35* 35.6000' 	E129* 21.1333' 	13.72M 	RKPU 	USN
Korea 	- 	Wonju 	Wonju 	N37* 26.2833' 	E127* 57.6167' 	100.28M 	RKNW 	WBJ
Korea 	- 	Yangyang 	Yangyang Intl 	N38* 03.6833' 	E128* 40.1500' 	73.46M 	RKNY 	-
Korea 	- 	Yecheon 	Yecheon Aero 	N36* 37.9033' 	E128* 21.3033' 	107.90M 	RKTY 	YEC
Korea 	- 	Yeosu 	Yeosu 	N34* 50.5333' 	E127* 37.0333' 	15.85M 	RKJY 	RSU
Kuwait 	- 	Ahmed Al Jaber AB 	Ahmed Al Jaber AB 	N28* 56.0858' 	E47* 47.5118' 	124.66M 	OKAJ 	-
Kuwait 	- 	Al Abdaliyah 	Al Abdaliyah Highway Strip 	N29* 02.4250' 	E47* 47.2667' 	100.58M 	Z19M 	-
Kuwait 	- 	Ali Al Salem 	Ali Al Salem AB 	N29* 20.8000' 	E47* 31.2500' 	143.87M 	OKAS 	-
Kuwait 	- 	Kuwait 	Kuwait Intl 	N29* 13.5940' 	E47* 58.1357' 	62.79M 	OKBK 	KWI
Kuwait 	- 	Udairi AAF 	Udairi AAF 	N29* 41.8573' 	E47* 26.1589' 	131.06M 	OKDI 	-
Kyrgyzstan 	- 	Batken 	Batken 	N40* 02.5646' 	E70* 50.2871' 	1058.88M 	UA0A 	-
Kyrgyzstan 	- 	Batken 	Batken 	N40* 02.5646' 	E70* 50.2871' 	1058.88M 	UA30 	-
Kyrgyzstan 	- 	Bishkek 	Kant 	N42* 51.3000' 	E74* 50.8000' 	776.94M 	UAFW 	-
Kyrgyzstan 	- 	Bishkek 	Manas 	N43* 03.7000' 	E74* 28.7000' 	637.03M 	UAFM 	FRU
Kyrgyzstan 	- 	Osh 	Osh 	N40* 36.5000' 	E72* 47.6000' 	892.15M 	UAFO 	OSS
Kyrgyzstan 	- 	Tamchy 	Ysykkul 	N42* 35.2667' 	E76* 42.7833' 	1653.84M 	UAFL 	-
Laos 	- 	Ban Houeisay 	Ban Houeisay 	N20* 16.0529' 	E100* 25.5778' 	420.62M 	VLHS 	HOE
Laos 	- 	Luang Namtha 	Luang Namtha 	N21* 03.0000' 	E101* 28.0000' 	1249.68M 	VLLN 	-
Laos 	- 	Luang Phabang 	Luang Phabang 	N19* 53.9167' 	E102* 09.7500' 	288.95M 	VLLB 	LPQ
Laos 	- 	Oudomsay 	Oudomsay 	N20* 40.8333' 	E101* 59.8333' 	650.75M 	VLOS 	-
Laos 	- 	Pakse 	Pakse 	N15* 08.0000' 	E105* 46.8333' 	106.98M 	VLPS 	PKZ
Laos 	- 	Phonesavanh 	Phonesavanh 	N19* 27.2833' 	E103* 13.0999' 	1100.02M 	VLPV 	-
Laos 	- 	Saravane 	Saravane 	N15* 42.5833' 	E106* 24.6667' 	174.96M 	VLSV 	-
Laos 	- 	Savannakhet 	Savannakhet 	N16* 33.0000' 	E104* 45.5833' 	155.14M 	VLSK 	-
Laos 	- 	Sayaboury 	Sayaboury 	N19* 14.5000' 	E101* 42.5000' 	380.09M 	VLSB 	-
Laos 	- 	Seno 	Seno 	N16* 40.2416' 	E105* 00.5233' 	185.01M 	Z19N 	-
Laos 	- 	Vang Vieng 	Vang Vieng 	N18* 55.4500' 	E102* 27.0334' 	295.96M 	VLVV 	-
Laos 	- 	Vientiane 	Wattay Intl 	N17* 59.2993' 	E102* 33.7952' 	171.60M 	VLVT 	VTE
Laos 	- 	Xieng Khouang 	Xieng Khouang 	N19* 27.0000' 	E103* 09.5000' 	1066.80M 	VLXK 	-
Laos 	- 	Xieng Khouang North 	Xieng Khouang North 	N19* 27.2420' 	E103* 09.2555' 	1066.80M 	VLXG 	-
Latvia 	- 	Liepaja 	Liepaja Intl 	N56* 31.0515' 	E21* 05.8235' 	4.88M 	EVLA 	LPX
Latvia 	- 	Riga 	Riga Intl 	N56* 55.4197' 	E23* 58.2718' 	10.36M 	EVRA 	RIX
Latvia 	- 	Ventspils 	Ventspils Intl 	N57* 21.4680' 	E21* 32.6498' 	5.79M 	EVVA 	-
Lebanon 	- 	Beirut 	Beirut Intl 	N33* 49.1430' 	E35* 29.4018' 	25.91M 	OLBA 	BEY
Lebanon 	- 	Beirut 	Wujah Al Hajar 	N34* 16.8834' 	E35* 40.8167' 	197.82M 	Z19O 	-
Lebanon 	- 	Kleyate 	Rene Mouawad AB 	N34* 35.1390' 	E36* 00.1820' 	7.01M 	OLKA 	-
Lebanon 	- 	Rayak 	Rayak AB 	N33* 52.9390' 	E35* 58.9820' 	900.07M 	OLRA 	-
Lesotho 	- 	Katse 	Katse 	S29* 21.6667' 	E28* 31.5833' 	2133.60M 	FXKA 	-
Lesotho 	- 	Leribe 	Leribe 	S28* 51.3333' 	E28* 03.1667' 	1630.68M 	FXLR 	-
Lesotho 	- 	Letseng 	Letseng 	S29* 00.5000' 	E28* 51.3333' 	3169.92M 	FXLT 	-
Lesotho 	- 	Maseru 	Mejametalana AB 	S29* 18.1667' 	E27* 30.1667' 	1556.00M 	FXMU 	-
Lesotho 	- 	Maseru 	Moshoeshoe I Intl 	S29* 27.2667' 	E27* 33.3167' 	1630.07M 	FXMM 	MSU
Lesotho 	- 	Mokhotlong 	Mokhotlong 	S29* 16.8333' 	E29* 04.3333' 	2194.56M 	FXMK 	-
Lesotho 	- 	Qacha's Nek 	Qacha's Nek 	S30* 06.6667' 	E28* 40.3333' 	1859.28M 	FXQN 	-
Lesotho 	- 	Sehonghong 	Sehonghong 	S29* 43.8333' 	E28* 46.1667' 	1981.20M 	FXSH 	-
Lesotho 	- 	Semonkong 	Semonkong 	S29* 50.3333' 	E28* 03.5000' 	2194.56M 	FXSM 	-
Liberia 	- 	Buckanan 	Buckanan 	N05* 10.0592' 	W09* 17.0083' 	11.89M 	GLBU 	-
Liberia 	- 	Greenville 	Sinoe 	N05* 02.0592' 	W09* 04.0082' 	3.05M 	GLGE 	-
Liberia 	- 	Harper 	Cape Palmas 	N04* 22.0587' 	W07* 42.0070' 	6.10M 	GLCP 	-
Liberia 	- 	Monrovia 	Roberts Intl 	N06* 14.4267' 	W10* 21.5927' 	92.96M 	GLRB 	ROB
Liberia 	- 	Monrovia 	Spriggs Payne 	N06* 17.0600' 	W10* 46.0097' 	7.92M 	GLMR 	-
Liberia 	- 	Nimba 	Lamco 	N07* 30.0610' 	W08* 36.0078' 	499.87M 	GLNA 	-
Liberia 	- 	Tchien 	Tchien 	N06* 04.0600' 	W08* 08.0073' 	239.88M 	GLTN 	-
Libya 	- 	Agedabia 	Agedabia 	N30* 45.9043' 	E20* 11.4860' 	15.24M 	HLAG 	-
Libya 	- 	Agedabia 	Agedabia 	N30* 45.9043' 	E20* 11.4860' 	15.24M 	HL58 	-
Libya 	- 	Al Booster 	Al Booster 	N29* 52.4569' 	E23* 20.8298' 	53.34M 	HL0N 	-
Libya 	- 	Al Bumbah North 	Al Bumbah North 	N32* 27.1738' 	E23* 07.1170' 	10.06M 	HL0M 	-
Libya 	- 	Al Bumbah North 	Al Bumbah North 	N32* 27.1738' 	E23* 07.1170' 	10.06M 	HL68 	-
Libya 	- 	Al Jufra 	Al Jufra 	N29* 11.8834' 	E16* 00.0617' 	257.86M 	HL0O 	-
Libya 	- 	Al Jufra 	Al Jufra 	N29* 11.8834' 	E16* 00.0617' 	257.86M 	HL69 	-
Libya 	- 	Al Khadim 	Al Khadim 	N31* 59.9119' 	E21* 11.5070' 	243.84M 	HL0G 	-
Libya 	- 	Al Khadim 	Al Khadim 	N31* 59.9119' 	E21* 11.5070' 	243.84M 	HL59 	-
Libya 	- 	Al Khuwaymat 	Al Khuwaymat 	N27* 15.4400' 	E21* 37.0884' 	152.40M 	HL0P 	-
Libya 	- 	Al Khuwaymat 	Al Khuwaymat 	N27* 15.4400' 	E21* 37.0884' 	152.40M 	HL70 	-
Libya 	- 	Al Marj 	Al Marj 	N32* 31.5172' 	E20* 52.5032' 	289.56M 	HL0H 	-
Libya 	- 	Al Marj 	Al Marj 	N32* 31.5172' 	E20* 52.5032' 	289.56M 	HL60 	-
Libya 	- 	Al Wigh 	Al Wigh 	N24* 11.1532' 	E14* 31.9682' 	474.88M 	HL0F 	-
Libya 	- 	Al Wigh 	Al Wigh 	N24* 11.1532' 	E14* 31.9682' 	474.88M 	HL57 	-
Libya 	- 	Amal V12 	Amal V12 	N29* 28.7700' 	E21* 07.3465' 	44.20M 	HLAM 	-
Libya 	- 	Amal V12 	Amal V12 	N29* 28.7700' 	E21* 07.3465' 	44.20M 	HL49 	-
Libya 	- 	Aozou 	Aozou 	N22* 38.7116' 	E17* 41.7917' 	608.08M 	Z19X 	-
Libya 	- 	Beda M3 	Beda M3 	N28* 30.2002' 	E19* 00.1675' 	152.10M 	HL0T 	-
Libya 	- 	Beda M3 	Beda M3 	N28* 30.2002' 	E19* 00.1675' 	152.10M 	HL74 	-
Libya 	- 	Benghazi 	Benina 	N32* 05.8500' 	E20* 16.2500' 	131.98M 	HLLB 	BEN
Libya 	- 	Beni Walid 	Beni Walid 	N31* 44.3533' 	E13* 57.2400' 	300.23M 	HL0D 	-
Libya 	- 	Beni Walid 	Beni Walid 	N31* 44.3533' 	E13* 57.2400' 	300.23M 	HL54 	-
Libya 	- 	Bir Umran 	Bir Umran 	N26* 19.9465' 	E13* 25.3265' 	426.72M 	HL0Q 	-
Libya 	- 	Bir Umran 	Bir Umran 	N26* 19.9465' 	E13* 25.3265' 	562.97M 	HL71 	-
Libya 	- 	Brach 	Brach 	N27* 39.2015' 	E14* 16.3087' 	321.87M 	HL0S 	-
Libya 	- 	Brach 	Brach 	N27* 39.2015' 	E14* 16.3087' 	451.71M 	HL73 	-
Libya 	- 	Bu Attifel 	Bu Attifel 	N28* 47.7223' 	E22* 04.8563' 	49.07M 	HLFL 	-
Libya 	- 	Dahra 	Dahra 	N29* 28.3540' 	E17* 56.0962' 	320.04M 	HLRA 	-
Libya 	- 	Eddib V7 	Eddib V7 	N28* 58.5000' 	E17* 35.2000' 	121.92M 	HLDB 	-
Libya 	- 	El Beida 	Labraq 	N32* 47.6500' 	E21* 57.8333' 	657.45M 	HLLQ 	LAQ
Libya 	- 	Gamal Abd El Nasser 	Gamal Abd El Nasser 	N31* 51.6773' 	E23* 54.4198' 	158.19M 	HL67 	-
Libya 	- 	Gamal Abd El Nasser 	Gamal Abd El Nasser 	N31* 51.6773' 	E23* 54.4214' 	158.19M 	HL0L 	-
Libya 	- 	Ghadames 	Ghadames 	N30* 09.1000' 	E09* 42.9200' 	341.99M 	HLTD 	LTD
Libya 	- 	Ghat 	Ghat 	N25* 08.2167' 	E10* 08.7000' 	699.82M 	HLGT 	GHT
Libya 	- 	Hamada Nc-5 	Hamada Nc-5 	N30* 42.1000' 	E12* 29.2000' 	650.14M 	HLHM 	-
Libya 	- 	Hamada Nc-8 	Hamada Nc-8 	N29* 30.8000' 	E12* 56.7000' 	623.93M 	HLNM 	-
Libya 	- 	Hon 	Hon 	N29* 08.0000' 	E15* 57.0000' 	289.86M 	HLON 	HUQ
Libya 	- 	Kufra 	Kufra 	N24* 10.6167' 	E23* 18.9167' 	416.66M 	HLKF 	AKF
Libya 	- 	Marsa Brega 	Marsa Brega 	N30* 22.6883' 	E19* 34.5866' 	15.24M 	HLMB 	LMQ
Libya 	- 	Martubah 	Martubah 	N32* 32.5358' 	E22* 44.7215' 	309.07M 	HL52 	-
Libya 	- 	Martubah 	Martubah 	N32* 32.5358' 	E22* 44.7215' 	376.43M 	HL0B 	-
Libya 	- 	Matan AS Sarra 	Matan AS Sarra 	N21* 41.2517' 	E21* 49.8628' 	524.87M 	HL0E 	-
Libya 	- 	Matan AS Sarra 	Matan AS Sarra 	N21* 41.2646' 	E21* 49.8560' 	524.87M 	HL56 	-
Libya 	- 	Matratin 	Matratin 	N30* 38.5778' 	E18* 19.2480' 	30.48M 	HL0Y 	-
Libya 	- 	Matratin 	Matratin 	N30* 38.5778' 	E18* 19.2480' 	30.48M 	HL80 	-
Libya 	- 	Messla 	Messla 	N27* 58.5000' 	E22* 21.5000' 	63.09M 	HLML 	-
Libya 	- 	Misurata 	Misurata 	N32* 19.4869' 	E15* 03.6400' 	18.29M 	HL0V 	-
Libya 	- 	Misurata 	Misurata 	N32* 19.5202' 	E15* 03.6565' 	18.29M 	HL76 	-
Libya 	- 	Nafurah 1 	Nafurah 1 	N29* 12.7721' 	E21* 35.5228' 	37.19M 	HL0J 	-
Libya 	- 	Nafurah 1 	Nafurah 1 	N29* 12.7916' 	E21* 35.5414' 	37.19M 	HL65 	-
Libya 	- 	Nanur 	Nanur 	N31* 42.3090' 	E14* 54.6971' 	56.39M 	HL83 	-
Libya 	- 	Nanur 	Nanur 	N31* 42.3334' 	E14* 54.6634' 	56.39M 	HL0Z 	-
Libya 	- 	Okba Ibn Nafa 	Okba Ibn Nafa 	N32* 28.4050' 	E11* 53.8745' 	77.11M 	HL0W 	-
Libya 	- 	Okba Ibn Nafa 	Okba Ibn Nafa 	N32* 28.4050' 	E11* 53.8745' 	77.11M 	HL77 	-
Libya 	- 	Oxy 103 A 	Oxy 103 A 	N29* 02.7000' 	E20* 46.9000' 	100.28M 	HLZG 	-
Libya 	- 	Qaryat Al Karmal 	Qaryat Al Karmal 	N31* 58.5394' 	E20* 01.6123' 	25.91M 	HL0I 	-
Libya 	- 	Qaryat Al Karmal 	Qaryat Al Karmal 	N31* 58.5394' 	E20* 01.6123' 	25.91M 	HL64 	-
Libya 	- 	Ras Lanuf Oil 	Ras Lanuf Oil 	N30* 30.0008' 	E18* 31.6297' 	12.80M 	HLNF 	-
Libya 	- 	Sarir C-4 	Sarir C-4 	N27* 39.5000' 	E22* 30.5000' 	121.31M 	HLSA 	-
Libya 	- 	Sebha 	Sebha 	N27* 00.5833' 	E14* 25.8333' 	434.95M 	HLLS 	SEB
Libya 	- 	Sidi Salih 	Sidi Salih 	N32* 29.6855' 	E13* 17.4040' 	149.35M 	HL0C 	-
Libya 	- 	Sidi Salih 	Sidi Salih 	N32* 29.6855' 	E13* 17.4040' 	149.35M 	HL53 	-
Libya 	- 	Sirte 	Gardabiya 	N31* 03.7000' 	E16* 35.5000' 	81.38M 	HLGD 	-
Libya 	- 	Taminhint 	Taminhint 	N27* 14.4040' 	E14* 39.3754' 	403.86M 	HL0K 	-
Libya 	- 	Taminhint 	Taminhint 	N27* 14.4040' 	E14* 39.3754' 	403.86M 	HL66 	-
Libya 	- 	Tebesty V-9 	Tebesty V-9 	N28* 36.5022' 	E19* 18.4892' 	164.59M 	HLTS 	-
Libya 	- 	Tripoli 	Mitiga 	N32* 53.6667' 	E13* 16.6667' 	10.97M 	HLLM 	MJI
Libya 	- 	Tripoli 	Tripoli Intl 	N32* 40.1667' 	E13* 09.4000' 	80.16M 	HLLT 	TIP
Libya 	- 	Ubari 	Ubari 	N26* 34.0495' 	E12* 49.3863' 	422.76M 	HL0A 	-
Libya 	- 	Ubari 	Ubari 	N26* 34.0495' 	E12* 49.3863' 	422.76M 	HL51 	-
Libya 	- 	Waddan 	Waddan 	N29* 08.3500' 	E16* 09.6167' 	277.37M 	HL0R 	-
Libya 	- 	Waddan 	Waddan 	N29* 08.3500' 	E16* 09.6167' 	277.37M 	HL72 	-
Libya 	- 	Waha 59-A 	Waha 59-A 	N28* 17.4000' 	E19* 56.8000' 	146.30M 	HLWA 	-
Libya 	- 	Warehouse 59e 	Warehouse 59e 	N28* 38.3075' 	E21* 26.2825' 	99.06M 	HLGL 	-
Libya 	- 	Waw Al Kabir 	Waw Al Kabir 	N25* 21.4110' 	E16* 48.5987' 	446.53M 	HL0X 	-
Libya 	- 	Waw Al Kabir 	Waw Al Kabir 	N25* 21.4110' 	E16* 48.5987' 	446.53M 	HL79 	-
Libya 	- 	Zella 74 	Zella 74 	N28* 35.3927' 	E17* 17.6315' 	330.71M 	HLZA 	-
Libya 	- 	Zelten 	Zelten 	N28* 57.2035' 	E19* 46.3085' 	150.27M 	HLZT 	-
Libya 	- 	Zueitina 	Zueitina 	N30* 52.5000' 	E20* 04.2000' 	6.10M 	HLZU 	-
Libya 	- 	Zwara 	Zwara 	N32* 58.8000' 	E12* 00.9000' 	.30M 	HLZW 	-
Lithuania 	- 	Barysiai 	Barysiai 	N56* 04.0382' 	E23* 33.7567' 	82.30M 	EYSB 	-
Lithuania 	- 	Kaunas 	Kaunas Intl 	N54* 57.8352' 	E24* 05.0867' 	78.03M 	EYKA 	KUN
Lithuania 	- 	Kedainiai 	Kedainiai 	N55* 18.7000' 	E23* 57.3833' 	52.12M 	EYKD 	-
Lithuania 	- 	Pajuostis 	Pajuostis 	N55* 43.7666' 	E24* 27.6500' 	60.05M 	EYPP 	-
Lithuania 	- 	Palanga 	Palanga Intl 	N55* 58.3937' 	E21* 05.6313' 	10.06M 	EYPA 	PLQ
Lithuania 	- 	S Dariaus 	S Dariaus 	N54* 52.8127' 	E23* 52.6658' 	74.98M 	EYKS 	-
